,fk_id_categoria,nome_cientifico,ano
0,3.0,Harpia harpyja,2014
1,3.0,Harpia harpyja,2021
2,3.0,Morphnus guianensis,2014
3,3.0,Morphnus guianensis,2021
4,4.0,Urubitinga coronata,2014
5,4.0,Urubitinga coronata,2021
6,3.0,Amadonastur lacernulatus,2014
7,3.0,Amadonastur lacernulatus,2021
8,3.0,Circus cinereus,2014
9,3.0,Circus cinereus,2021
10,4.0,Leptodon forbesi,2014
11,4.0,Leptodon forbesi,2021
12,3.0,Achirus mucuri,2014
13,3.0,Achirus mucuri,2021
14,4.0,Condylactis gigantea,2014
15,4.0,Condylactis gigantea,2021
16,5.0,Aegla franca,2014
17,5.0,Aegla franca,2021
18,3.0,Aegla leptodactyla,2014
19,3.0,Aegla leptodactyla,2021
20,5.0,Aegla perobae,2014
21,5.0,Aegla perobae,2021
22,5.0,Aegla renana,2014
23,5.0,Aegla renana,2021
24,5.0,Aegla cavernicola,2014
25,5.0,Aegla cavernicola,2021
26,5.0,Aegla leptochela,2014
27,5.0,Aegla leptochela,2021
28,5.0,Aegla microphthalma,2014
29,5.0,Aegla microphthalma,2021
30,,Aegla charon,2014
31,5.0,Aegla charon,2021
32,5.0,Aegla brevipalma,2014
33,5.0,Aegla brevipalma,2021
34,4.0,Aegla camargoi,2014
35,4.0,Aegla camargoi,2021
36,3.0,Aegla inconspicua,2014
37,3.0,Aegla inconspicua,2021
38,4.0,Aegla inermis,2014
39,4.0,Aegla inermis,2021
40,4.0,Aegla itacolomiensis,2014
41,4.0,Aegla itacolomiensis,2021
42,4.0,Aegla leachi,2014
43,4.0,Aegla leachi,2021
44,4.0,Aegla manuinflata,2014
45,4.0,Aegla manuinflata,2021
46,4.0,Aegla oblata,2014
47,4.0,Aegla oblata,2021
48,4.0,Aegla obstipa,2014
49,4.0,Aegla obstipa,2021
50,4.0,Aegla violacea,2014
51,4.0,Aegla violacea,2021
52,5.0,Cardisoma guanhumi,2014
53,3.0,Cardisoma guanhumi,2021
54,4.0,Johngarthia lagostoma,2014
55,4.0,Johngarthia lagostoma,2021
56,3.0,Castoraeschna januaria,2014
57,3.0,Castoraeschna januaria,2021
58,4.0,Rhionaeschna eduardoi,2014
59,4.0,Rhionaeschna eduardoi,2021
60,3.0,Phyllocycla bartica,2014
61,3.0,Phyllocycla bartica,2021
62,4.0,Elasmothemis schubarti,2014
63,4.0,Elasmothemis schubarti,2021
64,3.0,Macrothemis tessellata,2014
65,3.0,Macrothemis tessellata,2021
66,3.0,Micrathyria borgmeieri,2014
67,3.0,Micrathyria borgmeieri,2021
68,3.0,Micrathyria divergens,2014
69,3.0,Micrathyria divergens,2021
70,4.0,Heteragrion petiense,2014
71,4.0,Heteragrion petiense,2021
72,3.0,Alopias superciliosus,2014
73,4.0,Alopias superciliosus,2021
74,3.0,Alopias vulpinus,2014
75,5.0,Alopias vulpinus,2021
76,5.0,Cetorhinus maximus,2014
77,5.0,Cetorhinus maximus,2021
78,3.0,Carcharodon carcharias,2014
79,3.0,Carcharodon carcharias,2021
80,5.0,Carcharias taurus,2014
81,5.0,Carcharias taurus,2021
82,4.0,Amphisbaena arda,2014
83,4.0,Amphisbaena arda,2021
84,4.0,Amphisbaena frontalis,2014
85,4.0,Amphisbaena frontalis,2021
86,4.0,Amphisbaena nigricauda,2014
87,4.0,Amphisbaena nigricauda,2021
88,4.0,Amphisbaena supernumeraria,2014
89,4.0,Amphisbaena supernumeraria,2021
90,4.0,Amphisbaena uroxena,2014
91,4.0,Amphisbaena uroxena,2021
92,3.0,Leposternon kisteumacheri,2014
93,3.0,Leposternon kisteumacheri,2021
94,4.0,Leposternon octostegum,2014
95,4.0,Leposternon octostegum,2021
96,4.0,Leposternon scutigerum,2014
97,4.0,Leposternon scutigerum,2021
98,3.0,Corallus cropanii,2014
99,3.0,Corallus cropanii,2021
100,3.0,Dactyloa nasofrontalis,2014
101,3.0,Dactyloa nasofrontalis,2021
102,3.0,Dactyloa pseudotigrina,2014
103,3.0,Dactyloa pseudotigrina,2021
104,4.0,Apostolepis gaboi,2014
105,4.0,Apostolepis gaboi,2021
106,4.0,Apostolepis striata,2014
107,4.0,Apostolepis striata,2021
108,4.0,Atractus ronnie,2014
109,4.0,Atractus ronnie,2021
110,3.0,Echinanthera cephalomaculata,2014
111,3.0,Echinanthera cephalomaculata,2021
112,4.0,Phalotris multipunctatus,2014
113,4.0,Phalotris multipunctatus,2021
114,4.0,Rodriguesophis chui,2014
115,4.0,Rodriguesophis chui,2021
116,4.0,Rodriguesophis scriptorcibatus,2014
117,4.0,Rodriguesophis scriptorcibatus,2021
118,4.0,Apostolepis arenaria,2014
119,4.0,Apostolepis arenaria,2021
120,4.0,Apostolepis quirogai,2014
121,4.0,Apostolepis quirogai,2021
122,4.0,Atractus caete,2014
123,4.0,Atractus caete,2021
124,4.0,Atractus thalesdelemai,2014
125,4.0,Atractus thalesdelemai,2021
126,4.0,Calamodontophis ronaldoi,2014
127,4.0,Calamodontophis ronaldoi,2021
128,3.0,Ditaxodon taeniatus,2014
129,3.0,Ditaxodon taeniatus,2021
130,3.0,Philodryas livida,2014
131,3.0,Philodryas livida,2021
132,5.0,Bachia psamophila,2014
133,5.0,Bachia psamophila,2021
134,4.0,Calyptommatus leiolepis,2014
135,4.0,Calyptommatus leiolepis,2021
136,4.0,Leposoma baturitensis,2014
137,4.0,Leposoma baturitensis,2021
138,4.0,Leposoma puk,2014
139,4.0,Leposoma puk,2021
140,4.0,Bachia didactyla,2014
141,4.0,Bachia didactyla,2021
142,4.0,Calyptommatus nicterus,2014
143,4.0,Calyptommatus nicterus,2021
144,4.0,Calyptommatus sinebrachiatus,2014
145,4.0,Calyptommatus sinebrachiatus,2021
146,4.0,Colobodactylus dalcyanus,2014
147,4.0,Colobodactylus dalcyanus,2021
148,3.0,Heterodactylus lundii,2014
149,3.0,Heterodactylus lundii,2021
150,4.0,Heterodactylus septentrionalis,2014
151,4.0,Heterodactylus septentrionalis,2021
152,3.0,Leposoma annectans,2014
153,3.0,Leposoma annectans,2021
154,4.0,Leposoma nanodactylus,2014
155,4.0,Leposoma nanodactylus,2021
156,4.0,Placosoma cipoense,2014
157,4.0,Placosoma cipoense,2021
158,4.0,Procellosaurinus tetradactylus,2014
159,4.0,Procellosaurinus tetradactylus,2021
160,5.0,Enyalius erythroceneus,2014
161,5.0,Enyalius erythroceneus,2021
162,5.0,Liolaemus lutzae,2014
163,5.0,Liolaemus lutzae,2021
164,4.0,Liolaemus arambarensis,2014
165,4.0,Liolaemus arambarensis,2021
166,3.0,Liolaemus occipitalis,2014
167,3.0,Liolaemus occipitalis,2021
168,4.0,Brasiliscincus caissara,2014
169,4.0,Brasiliscincus caissara,2021
170,3.0,Homonota uruguayensis,2014
171,3.0,Homonota uruguayensis,2021
172,4.0,Gonatodes tapajonicus,2014
173,4.0,Gonatodes tapajonicus,2021
174,4.0,Coleodactylus natalensis,2014
175,4.0,Coleodactylus natalensis,2021
176,4.0,Ameivula nativo,2014
177,4.0,Ameivula nativo,2021
178,3.0,Contomastix vacariensis,2014
179,3.0,Contomastix vacariensis,2021
180,3.0,Kentropyx vanzoi,2014
181,3.0,Kentropyx vanzoi,2021
182,4.0,Ameiva parecis,2014
183,4.0,Ameiva parecis,2021
184,4.0,Glaucomastix abaetensis,2014
185,4.0,Glaucomastix abaetensis,2021
186,4.0,Glaucomastix littoralis,2014
187,4.0,Glaucomastix littoralis,2021
188,3.0,Tropidophis grapiuna,2014
189,3.0,Tropidophis grapiuna,2021
190,4.0,Eurolophosaurus amathites,2014
191,4.0,Eurolophosaurus amathites,2021
192,3.0,Stenocercus dumerilii,2014
193,3.0,Stenocercus dumerilii,2021
194,3.0,Tropidurus erythrocephalus,2014
195,3.0,Tropidurus erythrocephalus,2021
196,5.0,Tropidurus imbituba,2014
197,5.0,Tropidurus imbituba,2021
198,4.0,Tropidurus psammonastes,2014
199,4.0,Tropidurus psammonastes,2021
200,4.0,Stenocercus azureus,2014
201,4.0,Stenocercus azureus,2021
202,3.0,Tropidurus hygomi,2014
203,3.0,Tropidurus hygomi,2021
204,5.0,Bothrops alcatraz,2014
205,5.0,Bothrops alcatraz,2021
206,4.0,Bothrops muriciensis,2014
207,4.0,Bothrops muriciensis,2021
208,4.0,Bothrops pirajai,2014
209,4.0,Bothrops pirajai,2021
210,5.0,Bothrops insularis,2014
211,5.0,Bothrops insularis,2021
212,5.0,Bothrops otavioi,2014
213,5.0,Bothrops otavioi,2021
214,4.0,Pomacea sordida,2014
215,4.0,Pomacea sordida,2021
216,5.0,Potamolithus karsticus,2014
217,5.0,Potamolithus karsticus,2021
218,5.0,Potamolithus troglobius,2014
219,5.0,Potamolithus troglobius,2021
220,4.0,Jenynsia sanctaecatarinae,2014
221,4.0,Jenynsia sanctaecatarinae,2021
222,5.0,Cnesterodon iguape,2014
223,5.0,Cnesterodon iguape,2021
224,5.0,Phalloptychus eigenmanni,2014
225,5.0,Phalloptychus eigenmanni,2021
226,4.0,Phallotorynus fasciolatus,2014
227,7.0,Phallotorynus fasciolatus,2021
228,3.0,Cnesterodon carnegiei,2014
229,3.0,Cnesterodon carnegiei,2021
230,4.0,Cnesterodon omorgmatos,2014
231,5.0,Cnesterodon omorgmatos,2021
232,5.0,Anablepsoides cearensis,2014
233,5.0,Anablepsoides cearensis,2021
234,5.0,Atlantirivulus nudiventris,2014
235,5.0,Atlantirivulus nudiventris,2021
236,5.0,Austrolebias univentripinnis,2014
237,5.0,Austrolebias univentripinnis,2021
238,3.0,Cynopoecilus intimus,2014
239,3.0,Cynopoecilus intimus,2021
240,3.0,Maratecoara formosa,2014
241,3.0,Maratecoara formosa,2021
242,3.0,Melanorivulus illuminatus,2014
243,3.0,Melanorivulus illuminatus,2021
244,4.0,Melanorivulus scalaris,2014
245,4.0,Melanorivulus scalaris,2021
246,5.0,Nematolebias whitei,2014
247,5.0,Nematolebias whitei,2021
248,4.0,Plesiolebias xavantei,2014
249,4.0,Plesiolebias xavantei,2021
250,4.0,Hypsolebias flammeus,2014
251,4.0,Hypsolebias flammeus,2021
252,5.0,Hypsolebias multiradiatus,2014
253,5.0,Hypsolebias multiradiatus,2021
254,5.0,Kryptolebias campelloi,2014
255,5.0,Kryptolebias campelloi,2021
256,3.0,Maratecoara splendida,2014
257,3.0,Maratecoara splendida,2021
258,3.0,Melanorivulus crixas,2014
259,3.0,Melanorivulus crixas,2021
260,3.0,Melanorivulus karaja,2014
261,3.0,Melanorivulus karaja,2021
262,3.0,Melanorivulus kayapo,2014
263,3.0,Melanorivulus kayapo,2021
264,3.0,Melanorivulus kunzei,2014
265,3.0,Melanorivulus kunzei,2021
266,3.0,Melanorivulus rubromarginatus,2014
267,3.0,Melanorivulus rubromarginatus,2021
268,3.0,Melanorivulus salmonicaudus,2014
269,3.0,Melanorivulus salmonicaudus,2021
270,3.0,Melanorivulus ubirajarai,2014
271,3.0,Melanorivulus ubirajarai,2021
272,5.0,Pituna xinguensis,2014
273,5.0,Pituna xinguensis,2021
274,3.0,Plesiolebias canabravensis,2014
275,3.0,Plesiolebias canabravensis,2021
276,5.0,Spectrolebias reticulatus,2014
277,5.0,Spectrolebias reticulatus,2021
278,4.0,Trigonectes strigabundus,2014
279,4.0,Trigonectes strigabundus,2021
280,5.0,Atlantirivulus lazzarotoi,2014
281,5.0,Atlantirivulus lazzarotoi,2021
282,5.0,Atlantirivulus maricensis,2014
283,5.0,Atlantirivulus maricensis,2021
284,4.0,Atlantirivulus simplicis,2014
285,4.0,Atlantirivulus simplicis,2021
286,4.0,Austrolebias adloffi,2014
287,4.0,Austrolebias adloffi,2021
288,5.0,Austrolebias alexandri,2014
289,4.0,Austrolebias alexandri,2021
290,5.0,Austrolebias arachan,2014
291,3.0,Austrolebias arachan,2021
292,5.0,Austrolebias carvalhoi,2014
293,5.0,Austrolebias carvalhoi,2021
294,5.0,Austrolebias cheradophilus,2014
295,5.0,Austrolebias cheradophilus,2021
296,5.0,Austrolebias cyaneus,2014
297,4.0,Austrolebias cyaneus,2021
298,5.0,Austrolebias ibicuiensis,2014
299,4.0,Austrolebias ibicuiensis,2021
300,5.0,Austrolebias jaegari,2014
301,5.0,Austrolebias jaegari,2021
302,5.0,Austrolebias litzi,2014
303,3.0,Austrolebias litzi,2021
304,4.0,Austrolebias nachtigalli,2014
305,3.0,Austrolebias nachtigalli,2021
306,3.0,Austrolebias nigrofasciatus,2014
307,4.0,Austrolebias nigrofasciatus,2021
308,3.0,Austrolebias paucisquama,2014
309,3.0,Austrolebias paucisquama,2021
310,3.0,Austrolebias varzeae,2014
311,5.0,Austrolebias varzeae,2021
312,4.0,Campellolebias brucei,2014
313,5.0,Campellolebias brucei,2021
314,5.0,Campellolebias chrysolineatus,2014
315,5.0,Campellolebias chrysolineatus,2021
316,5.0,Campellolebias dorsimaculatus,2014
317,5.0,Campellolebias dorsimaculatus,2021
318,5.0,Campellolebias intermedius,2014
319,5.0,Campellolebias intermedius,2021
320,5.0,Cynolebias griseus,2014
321,4.0,Cynolebias griseus,2021
322,5.0,Cynolebias leptocephalus,2014
323,4.0,Cynolebias leptocephalus,2021
324,0.0,Cynolebias parnaibensis,2014
325,5.0,Cynolebias parnaibensis,2021
326,3.0,Hypsolebias adornatus,2014
327,5.0,Hypsolebias adornatus,2021
328,3.0,Hypsolebias alternatus,2014
329,4.0,Hypsolebias alternatus,2021
330,5.0,Hypsolebias auratus,2014
331,5.0,Hypsolebias auratus,2021
332,3.0,Hypsolebias brunoi,2014
333,3.0,Hypsolebias brunoi,2021
334,5.0,Hypsolebias carlettoi,2014
335,4.0,Hypsolebias carlettoi,2021
336,0.0,Hypsolebias delucai,2014
337,3.0,Hypsolebias delucai,2021
338,3.0,Hypsolebias fasciatus,2014
339,3.0,Hypsolebias fasciatus,2021
340,5.0,Hypsolebias flavicaudatus,2014
341,4.0,Hypsolebias flavicaudatus,2021
342,5.0,Hypsolebias fulminantis,2014
343,5.0,Hypsolebias fulminantis,2021
344,5.0,Hypsolebias ghisolfii,2014
345,4.0,Hypsolebias ghisolfii,2021
346,3.0,Hypsolebias gibberatus,2014
347,3.0,Hypsolebias gibberatus,2021
348,2.0,Hypsolebias gilbertobrasili,2014
349,5.0,Hypsolebias gilbertobrasili,2021
350,3.0,Hypsolebias guanambi,2014
351,3.0,Hypsolebias guanambi,2021
352,3.0,Hypsolebias harmonicus,2014
353,3.0,Hypsolebias harmonicus,2021
354,4.0,Hypsolebias hellneri,2014
355,4.0,Hypsolebias hellneri,2021
356,5.0,Hypsolebias igneus,2014
357,4.0,Hypsolebias igneus,2021
358,5.0,Hypsolebias janaubensis,2014
359,5.0,Hypsolebias janaubensis,2021
360,3.0,Hypsolebias longignatus,2014
361,3.0,Hypsolebias longignatus,2021
362,3.0,Hypsolebias lopesi,2014
363,5.0,Hypsolebias lopesi,2021
364,5.0,Hypsolebias macaubensis,2014
365,4.0,Hypsolebias macaubensis,2021
366,4.0,Hypsolebias magnificus,2014
367,4.0,Hypsolebias magnificus,2021
368,3.0,Hypsolebias mediopapillatus,2014
369,3.0,Hypsolebias mediopapillatus,2021
370,4.0,Hypsolebias nielseni,2014
371,4.0,Hypsolebias nielseni,2021
372,4.0,Hypsolebias notatus,2014
373,4.0,Hypsolebias notatus,2021
374,0.0,Hypsolebias nudiorbitatus,2014
375,3.0,Hypsolebias nudiorbitatus,2021
376,3.0,Hypsolebias picturatus,2014
377,4.0,Hypsolebias picturatus,2021
378,0.0,Hypsolebias radiseriatus,2014
379,4.0,Hypsolebias radiseriatus,2021
380,5.0,Hypsolebias rufus,2014
381,5.0,Hypsolebias rufus,2021
382,4.0,Hypsolebias stellatus,2014
383,4.0,Hypsolebias stellatus,2021
384,3.0,Hypsolebias trilineatus,2014
385,5.0,Hypsolebias trilineatus,2021
386,5.0,Hypsolebias virgulatus,2014
387,5.0,Hypsolebias virgulatus,2021
388,5.0,Kryptolebias brasiliensis,2014
389,4.0,Kryptolebias brasiliensis,2021
390,5.0,Kryptolebias gracilis,2014
391,5.0,Kryptolebias gracilis,2021
392,5.0,Leptopanchax citrinipinnis,2014
393,5.0,Leptopanchax citrinipinnis,2021
394,5.0,Leptopanchax itanhaensis,2014
395,5.0,Leptopanchax itanhaensis,2021
396,5.0,Leptolebias marmoratus,2014
397,5.0,Leptolebias marmoratus,2021
398,5.0,Leptopanchax opalescens,2014
399,5.0,Leptopanchax opalescens,2021
400,5.0,Leptopanchax splendens,2014
401,5.0,Leptopanchax splendens,2021
402,4.0,Melanorivulus pinima,2014
403,4.0,Melanorivulus pinima,2021
404,3.0,Melanorivulus rutilicaudus,2014
405,3.0,Melanorivulus rutilicaudus,2021
406,4.0,Melanorivulus vittatus,2014
407,4.0,Melanorivulus vittatus,2021
408,5.0,Nematolebias catimbau,2014
409,5.0,Nematolebias catimbau,2021
410,5.0,Nematolebias papilliferus,2014
411,5.0,Nematolebias papilliferus,2021
412,5.0,Notholebias cruzi,2014
413,5.0,Notholebias cruzi,2021
414,5.0,Notholebias fractifasciatus,2014
415,5.0,Notholebias fractifasciatus,2021
416,5.0,Notholebias minimus,2014
417,4.0,Notholebias minimus,2021
418,4.0,Notholebias vermiculatus,2014
419,5.0,Notholebias vermiculatus,2021
420,5.0,Ophthalmolebias bokermanni,2014
421,5.0,Ophthalmolebias bokermanni,2021
422,5.0,Ophthalmolebias constanciae,2014
423,5.0,Ophthalmolebias constanciae,2021
424,5.0,Ophthalmolebias ilheusensis,2014
425,4.0,Ophthalmolebias ilheusensis,2021
426,5.0,Ophthalmolebias perpendicularis,2014
427,5.0,Ophthalmolebias perpendicularis,2021
428,3.0,Ophthalmolebias rosaceus,2014
429,5.0,Ophthalmolebias rosaceus,2021
430,3.0,Ophthalmolebias suzarti,2014
431,3.0,Ophthalmolebias suzarti,2021
432,3.0,Pituna brevirostrata,2014
433,5.0,Pituna brevirostrata,2021
434,3.0,Simpsonichthys boitonei,2014
435,5.0,Simpsonichthys boitonei,2021
436,3.0,Simpsonichthys nigromaculatus,2014
437,3.0,Simpsonichthys nigromaculatus,2021
438,3.0,Simpsonichthys parallelus,2014
439,4.0,Simpsonichthys parallelus,2021
440,3.0,Simpsonichthys punctulatus,2014
441,5.0,Simpsonichthys punctulatus,2021
442,5.0,Simpsonichthys santanae,2014
443,4.0,Simpsonichthys santanae,2021
444,5.0,Simpsonichthys zonatus,2014
445,7.0,Simpsonichthys zonatus,2021
446,4.0,Xenurolebias myersi,2014
447,4.0,Xenurolebias myersi,2021
448,,Austrolebias camaquensis,2014
449,4.0,Austrolebias camaquensis,2021
450,,Austrolebias pelotapes,2014
451,5.0,Austrolebias pelotapes,2021
452,,Austrolebias pongondo,2014
453,4.0,Austrolebias pongondo,2021
454,,Cynolebias elegans,2014
455,5.0,Cynolebias elegans,2021
456,,Cynolebias gorutuba,2014
457,4.0,Cynolebias gorutuba,2021
458,,Cynopoecilus feltrini,2014
459,3.0,Cynopoecilus feltrini,2021
460,,Hypsolebias faouri,2014
461,3.0,Hypsolebias faouri,2021
462,,Simpsonichthys espinhacensis,2014
463,4.0,Simpsonichthys espinhacensis,2021
464,5.0,Moema piriana,2014
465,7.0,Moema piriana,2021
466,5.0,Hypsolebias marginatus,2014
467,7.0,Hypsolebias marginatus,2021
468,5.0,Hypsolebias tocantinensis,2014
469,5.0,Hypsolebias tocantinensis,2021
470,4.0,Simpsonichthys cholopteryx,2014
471,4.0,Simpsonichthys cholopteryx,2021
472,,Austrolebias araucarianus,2014
473,3.0,Austrolebias araucarianus,2021
474,,Austrolebias bagual,2014
475,5.0,Austrolebias bagual,2021
476,,Cynolebias akroa,2014
477,3.0,Cynolebias akroa,2021
478,,Hypsolebias gardneri,2014
479,4.0,Hypsolebias gardneri,2021
480,,Hypsolebias hamadryades,2014
481,5.0,Hypsolebias hamadryades,2021
482,,Hypsolebias shibattai,2014
483,3.0,Hypsolebias shibattai,2021
484,,Hypsolebias splendissimus,2014
485,3.0,Hypsolebias splendissimus,2021
486,,Austrolebias ephemerus,2014
487,4.0,Austrolebias ephemerus,2021
488,,Austrolebias quirogai,2014
489,5.0,Austrolebias quirogai,2021
490,5.0,Austrolebias cinereus,2014
491,5.0,Austrolebias cinereus,2021
492,5.0,Mergus octosetaceus,2014
493,5.0,Mergus octosetaceus,2021
494,3.0,Arhysosage cactorum,2014
495,3.0,Arhysosage cactorum,2021
496,4.0,Melipona rufiventris,2014
497,4.0,Melipona rufiventris,2021
498,4.0,Melipona scutellaris,2014
499,4.0,Melipona scutellaris,2021
500,4.0,Melipona capixaba,2014
501,4.0,Melipona capixaba,2021
502,4.0,Partamona littoralis,2014
503,4.0,Partamona littoralis,2021
504,4.0,Dinoponera lucida,2014
505,4.0,Dinoponera lucida,2021
506,4.0,Gnamptogenys wilsoni,2014
507,4.0,Gnamptogenys wilsoni,2021
508,3.0,Mycetophylax simplex,2014
509,3.0,Mycetophylax simplex,2021
510,3.0,Mycetomoellerius atlanticus,2014
511,3.0,Mycetomoellerius atlanticus,2021
512,3.0,Atta robusta,2014
513,3.0,Atta robusta,2021
514,4.0,Brachymyrmex micromegas,2014
515,3.0,Brachymyrmex micromegas,2021
516,4.0,Diaphoromyrma sofiae,2014
517,4.0,Diaphoromyrma sofiae,2021
518,3.0,Monomorium delabiei,2014
519,3.0,Monomorium delabiei,2021
520,5.0,Mycetagroicus urbanus,2014
521,5.0,Mycetagroicus urbanus,2021
522,4.0,Rhopalothrix plaumanni,2014
523,4.0,Rhopalothrix plaumanni,2021
524,5.0,Fulakora cleae,2014
525,5.0,Fulakora cleae,2021
526,3.0,Leporinus guttatus,2014
527,3.0,Leporinus guttatus,2021
528,5.0,Leporinus pitingai,2014
529,5.0,Leporinus pitingai,2021
530,4.0,Hypomasticus thayeri,2014
531,3.0,Hypomasticus thayeri,2021
532,4.0,Sartor tucuruiense,2014
533,4.0,Sartor tucuruiense,2021
534,4.0,Brycon devillei,2014
535,4.0,Brycon devillei,2021
536,4.0,Bryconamericus lambari,2014
537,4.0,Bryconamericus lambari,2021
538,4.0,Diapoma pyrrhopteryx,2014
539,4.0,Diapoma pyrrhopteryx,2021
540,5.0,Henochilus wheatlandii,2014
541,5.0,Henochilus wheatlandii,2021
542,4.0,Hollandichthys taramandahy,2014
543,4.0,Hollandichthys taramandahy,2021
544,4.0,Rachoviscus crassiceps,2014
545,4.0,Rachoviscus crassiceps,2021
546,4.0,Spintherobolus leptoura,2014
547,4.0,Spintherobolus leptoura,2021
548,4.0,Stygichthys typhlops,2014
549,4.0,Stygichthys typhlops,2021
550,4.0,Brycon gouldingi,2014
551,4.0,Brycon gouldingi,2021
552,3.0,Ossubtus xinguense,2014
553,3.0,Ossubtus xinguense,2021
554,4.0,Rhinopetitia potamorhachia,2014
555,4.0,Rhinopetitia potamorhachia,2021
556,4.0,Brycon insignis,2014
557,4.0,Brycon insignis,2021
558,3.0,Brycon opalinus,2014
559,3.0,Brycon opalinus,2021
560,4.0,Spintherobolus broccae,2014
561,4.0,Spintherobolus broccae,2021
562,4.0,Brycon orbignyanus,2014
563,5.0,Brycon orbignyanus,2021
564,3.0,Hasemania crenuchoides,2014
565,4.0,Hasemania crenuchoides,2021
566,0.0,Hasemania maxillaris,2014
567,7.0,Hasemania maxillaris,2021
568,0.0,Hasemania melanura,2014
569,7.0,Hasemania melanura,2021
570,4.0,Hyphessobrycon duragenys,2014
571,4.0,Hyphessobrycon duragenys,2021
572,4.0,Hyphessobrycon flammeus,2014
573,4.0,Hyphessobrycon flammeus,2021
574,0.0,Hyphessobrycon taurocephalus,2014
575,7.0,Hyphessobrycon taurocephalus,2021
576,5.0,Spintherobolus papilliferus,2014
577,4.0,Spintherobolus papilliferus,2021
578,5.0,Astyanax eremus,2014
579,5.0,Astyanax eremus,2021
580,,Hasemania uberaba,2014
581,4.0,Hasemania uberaba,2021
582,4.0,Brycon vermelha,2014
583,4.0,Brycon vermelha,2021
584,4.0,Hasemania piatan,2014
585,4.0,Hasemania piatan,2021
586,5.0,Kolpotocheirodon figueiredoi,2014
587,5.0,Kolpotocheirodon figueiredoi,2021
588,4.0,Lepidocharax diamantina,2014
589,4.0,Lepidocharax diamantina,2021
590,3.0,Mimagoniates lateralis,2014
591,3.0,Mimagoniates lateralis,2021
592,4.0,Mimagoniates sylvicola,2014
593,4.0,Mimagoniates sylvicola,2021
594,4.0,Rachoviscus graciliceps,2014
595,4.0,Rachoviscus graciliceps,2021
596,3.0,Spintherobolus ankoseion,2014
597,3.0,Spintherobolus ankoseion,2021
598,5.0,Characidium vestigipinne,2014
599,5.0,Characidium vestigipinne,2021
600,4.0,Melanocharacidium nigrum,2014
601,4.0,Melanocharacidium nigrum,2021
602,5.0,Characidium grajahuensis,2014
603,5.0,Characidium grajahuensis,2021
604,3.0,Roestes itupiranga,2014
605,3.0,Roestes itupiranga,2021
606,3.0,Lebiasina melanoguttata,2014
607,3.0,Lebiasina melanoguttata,2021
608,3.0,Lebiasina marilynae,2014
609,3.0,Lebiasina marilynae,2021
610,3.0,Lebiasina minuta,2014
611,3.0,Lebiasina minuta,2021
612,4.0,Apareiodon davisi,2014
613,4.0,Apareiodon davisi,2021
614,4.0,Prochilodus britskii,2014
615,4.0,Prochilodus britskii,2021
616,3.0,Prochilodus vimboides,2014
617,3.0,Prochilodus vimboides,2021
618,4.0,Myloplus tiete,2014
619,4.0,Myloplus tiete,2021
