,fk_id_familia,fk_id_grupo,nome_cientifico,fk_id_categoria
1,0,1,Harpia harpyja,3.0
3,0,1,Morphnus guianensis,3.0
5,0,1,Urubitinga coronata,4.0
7,0,1,Amadonastur lacernulatus,3.0
9,0,1,Circus cinereus,3.0
11,0,1,Leptodon forbesi,4.0
13,1,9,Achirus mucuri,3.0
15,2,2,Condylactis gigantea,4.0
17,3,4,Aegla franca,5.0
19,3,4,Aegla leptodactyla,3.0
21,3,4,Aegla perobae,5.0
23,3,4,Aegla renana,5.0
25,3,4,Aegla cavernicola,5.0
27,3,4,Aegla leptochela,5.0
29,3,4,Aegla microphthalma,5.0
31,3,4,Aegla charon,5.0
33,3,4,Aegla brevipalma,5.0
35,3,4,Aegla camargoi,4.0
37,3,4,Aegla inconspicua,3.0
39,3,4,Aegla inermis,4.0
41,3,4,Aegla itacolomiensis,4.0
43,3,4,Aegla leachi,4.0
45,3,4,Aegla manuinflata,4.0
47,3,4,Aegla oblata,4.0
49,3,4,Aegla obstipa,4.0
51,3,4,Aegla violacea,4.0
53,4,2,Cardisoma guanhumi,3.0
55,4,2,Johngarthia lagostoma,4.0
57,5,4,Castoraeschna januaria,3.0
59,5,4,Rhionaeschna eduardoi,4.0
61,6,4,Phyllocycla bartica,3.0
63,7,4,Elasmothemis schubarti,4.0
65,7,4,Macrothemis tessellata,3.0
67,7,4,Micrathyria borgmeieri,3.0
69,7,4,Micrathyria divergens,3.0
71,8,4,Heteragrion petiense,4.0
73,9,9,Alopias superciliosus,4.0
75,9,9,Alopias vulpinus,5.0
77,10,9,Cetorhinus maximus,5.0
79,11,9,Carcharodon carcharias,3.0
81,12,9,Carcharias taurus,5.0
83,13,10,Amphisbaena arda,4.0
85,13,10,Amphisbaena frontalis,4.0
87,13,10,Amphisbaena nigricauda,4.0
89,13,10,Amphisbaena supernumeraria,4.0
91,13,10,Amphisbaena uroxena,4.0
93,13,10,Leposternon kisteumacheri,3.0
95,13,10,Leposternon octostegum,4.0
97,13,10,Leposternon scutigerum,4.0
99,14,10,Corallus cropanii,3.0
101,15,10,Dactyloa nasofrontalis,3.0
103,15,10,Dactyloa pseudotigrina,3.0
105,16,10,Apostolepis gaboi,4.0
107,16,10,Apostolepis striata,4.0
109,16,10,Atractus ronnie,4.0
111,16,10,Echinanthera cephalomaculata,3.0
113,16,10,Phalotris multipunctatus,4.0
115,16,10,Rodriguesophis chui,4.0
117,16,10,Rodriguesophis scriptorcibatus,4.0
119,16,10,Apostolepis arenaria,4.0
121,16,10,Apostolepis quirogai,4.0
123,16,10,Atractus caete,4.0
125,16,10,Atractus thalesdelemai,4.0
127,16,10,Calamodontophis ronaldoi,4.0
129,16,10,Ditaxodon taeniatus,3.0
131,16,10,Philodryas livida,3.0
133,17,10,Bachia psamophila,5.0
135,17,10,Calyptommatus leiolepis,4.0
137,17,10,Leposoma baturitensis,4.0
139,17,10,Leposoma puk,4.0
141,17,10,Bachia didactyla,4.0
143,17,10,Calyptommatus nicterus,4.0
145,17,10,Calyptommatus sinebrachiatus,4.0
147,17,10,Colobodactylus dalcyanus,4.0
149,17,10,Heterodactylus lundii,3.0
151,17,10,Heterodactylus septentrionalis,4.0
153,17,10,Leposoma annectans,3.0
155,17,10,Leposoma nanodactylus,4.0
157,17,10,Placosoma cipoense,4.0
159,17,10,Procellosaurinus tetradactylus,4.0
161,18,10,Enyalius erythroceneus,5.0
163,19,10,Liolaemus lutzae,5.0
165,19,10,Liolaemus arambarensis,4.0
167,19,10,Liolaemus occipitalis,3.0
169,20,10,Brasiliscincus caissara,4.0
171,21,10,Homonota uruguayensis,3.0
173,22,10,Gonatodes tapajonicus,4.0
175,22,10,Coleodactylus natalensis,4.0
177,23,10,Ameivula nativo,4.0
179,23,10,Contomastix vacariensis,3.0
181,23,10,Kentropyx vanzoi,3.0
183,23,10,Ameiva parecis,4.0
185,23,10,Glaucomastix abaetensis,4.0
187,23,10,Glaucomastix littoralis,4.0
189,24,10,Tropidophis grapiuna,3.0
191,25,10,Eurolophosaurus amathites,4.0
193,25,10,Stenocercus dumerilii,3.0
195,25,10,Tropidurus erythrocephalus,3.0
197,25,10,Tropidurus imbituba,5.0
199,25,10,Tropidurus psammonastes,4.0
201,25,10,Stenocercus azureus,4.0
203,25,10,Tropidurus hygomi,3.0
205,26,10,Bothrops alcatraz,5.0
207,26,10,Bothrops muriciensis,4.0
209,26,10,Bothrops pirajai,4.0
211,26,10,Bothrops insularis,5.0
213,26,10,Bothrops otavioi,5.0
215,27,3,Pomacea sordida,4.0
217,28,3,Potamolithus karsticus,5.0
219,28,4,Potamolithus troglobius,5.0
221,29,8,Jenynsia sanctaecatarinae,4.0
223,30,8,Cnesterodon iguape,5.0
225,30,8,Phalloptychus eigenmanni,5.0
227,30,8,Phallotorynus fasciolatus,7.0
229,30,8,Cnesterodon carnegiei,3.0
231,30,8,Cnesterodon omorgmatos,5.0
233,31,8,Anablepsoides cearensis,5.0
235,31,8,Atlantirivulus nudiventris,5.0
237,31,8,Austrolebias univentripinnis,5.0
239,31,8,Cynopoecilus intimus,3.0
241,31,8,Maratecoara formosa,3.0
243,31,8,Melanorivulus illuminatus,3.0
245,31,8,Melanorivulus scalaris,4.0
247,31,8,Nematolebias whitei,5.0
249,31,8,Plesiolebias xavantei,4.0
251,31,8,Hypsolebias flammeus,4.0
253,31,8,Hypsolebias multiradiatus,5.0
255,31,8,Kryptolebias campelloi,5.0
257,31,8,Maratecoara splendida,3.0
259,31,8,Melanorivulus crixas,3.0
261,31,8,Melanorivulus karaja,3.0
263,31,8,Melanorivulus kayapo,3.0
265,31,8,Melanorivulus kunzei,3.0
267,31,8,Melanorivulus rubromarginatus,3.0
269,31,8,Melanorivulus salmonicaudus,3.0
271,31,8,Melanorivulus ubirajarai,3.0
273,31,8,Pituna xinguensis,5.0
275,31,8,Plesiolebias canabravensis,3.0
277,31,8,Spectrolebias reticulatus,5.0
279,31,8,Trigonectes strigabundus,4.0
281,31,8,Atlantirivulus lazzarotoi,5.0
283,31,8,Atlantirivulus maricensis,5.0
285,31,8,Atlantirivulus simplicis,4.0
287,31,8,Austrolebias adloffi,4.0
289,31,8,Austrolebias alexandri,4.0
291,31,8,Austrolebias arachan,3.0
293,31,8,Austrolebias carvalhoi,5.0
295,31,8,Austrolebias cheradophilus,5.0
297,31,8,Austrolebias cyaneus,4.0
299,31,8,Austrolebias ibicuiensis,4.0
301,31,8,Austrolebias jaegari,5.0
303,31,8,Austrolebias litzi,3.0
305,31,8,Austrolebias nachtigalli,3.0
307,31,8,Austrolebias nigrofasciatus,4.0
309,31,8,Austrolebias paucisquama,3.0
311,31,8,Austrolebias varzeae,5.0
313,31,8,Campellolebias brucei,5.0
315,31,8,Campellolebias chrysolineatus,5.0
317,31,8,Campellolebias dorsimaculatus,5.0
319,31,8,Campellolebias intermedius,5.0
321,31,8,Cynolebias griseus,4.0
323,31,8,Cynolebias leptocephalus,4.0
325,31,8,Cynolebias parnaibensis,5.0
327,31,8,Hypsolebias adornatus,5.0
329,31,8,Hypsolebias alternatus,4.0
331,31,8,Hypsolebias auratus,5.0
333,31,8,Hypsolebias brunoi,3.0
335,31,8,Hypsolebias carlettoi,4.0
337,31,8,Hypsolebias delucai,3.0
339,31,8,Hypsolebias fasciatus,3.0
341,31,8,Hypsolebias flavicaudatus,4.0
343,31,8,Hypsolebias fulminantis,5.0
345,31,8,Hypsolebias ghisolfii,4.0
347,31,8,Hypsolebias gibberatus,3.0
349,31,8,Hypsolebias gilbertobrasili,5.0
351,31,8,Hypsolebias guanambi,3.0
353,31,8,Hypsolebias harmonicus,3.0
355,31,8,Hypsolebias hellneri,4.0
357,31,8,Hypsolebias igneus,4.0
359,31,8,Hypsolebias janaubensis,5.0
361,31,8,Hypsolebias longignatus,3.0
363,31,8,Hypsolebias lopesi,5.0
365,31,8,Hypsolebias macaubensis,4.0
367,31,8,Hypsolebias magnificus,4.0
369,31,8,Hypsolebias mediopapillatus,3.0
371,31,8,Hypsolebias nielseni,4.0
373,31,8,Hypsolebias notatus,4.0
375,31,8,Hypsolebias nudiorbitatus,3.0
377,31,8,Hypsolebias picturatus,4.0
379,31,8,Hypsolebias radiseriatus,4.0
381,31,8,Hypsolebias rufus,5.0
383,31,8,Hypsolebias stellatus,4.0
385,31,8,Hypsolebias trilineatus,5.0
387,31,8,Hypsolebias virgulatus,5.0
389,31,8,Kryptolebias brasiliensis,4.0
391,31,8,Kryptolebias gracilis,5.0
393,31,8,Leptopanchax citrinipinnis,5.0
395,31,8,Leptopanchax itanhaensis,5.0
397,31,8,Leptolebias marmoratus,5.0
399,31,8,Leptopanchax opalescens,5.0
401,31,8,Leptopanchax splendens,5.0
403,31,8,Melanorivulus pinima,4.0
405,31,8,Melanorivulus rutilicaudus,3.0
407,31,8,Melanorivulus vittatus,4.0
409,31,8,Nematolebias catimbau,5.0
411,31,8,Nematolebias papilliferus,5.0
413,31,8,Notholebias cruzi,5.0
415,31,8,Notholebias fractifasciatus,5.0
417,31,8,Notholebias minimus,4.0
419,31,8,Notholebias vermiculatus,5.0
421,31,8,Ophthalmolebias bokermanni,5.0
423,31,8,Ophthalmolebias constanciae,5.0
425,31,8,Ophthalmolebias ilheusensis,4.0
427,31,8,Ophthalmolebias perpendicularis,5.0
429,31,8,Ophthalmolebias rosaceus,5.0
431,31,8,Ophthalmolebias suzarti,3.0
433,31,8,Pituna brevirostrata,5.0
435,31,8,Simpsonichthys boitonei,5.0
437,31,8,Simpsonichthys nigromaculatus,3.0
439,31,8,Simpsonichthys parallelus,4.0
441,31,8,Simpsonichthys punctulatus,5.0
443,31,8,Simpsonichthys santanae,4.0
445,31,8,Simpsonichthys zonatus,7.0
447,31,8,Xenurolebias myersi,4.0
449,31,8,Austrolebias camaquensis,4.0
451,31,8,Austrolebias pelotapes,5.0
453,31,8,Austrolebias pongondo,4.0
455,31,8,Cynolebias elegans,5.0
457,31,8,Cynolebias gorutuba,4.0
459,31,8,Cynopoecilus feltrini,3.0
461,31,8,Hypsolebias faouri,3.0
463,31,8,Simpsonichthys espinhacensis,4.0
465,31,8,Moema piriana,7.0
467,31,8,Hypsolebias marginatus,7.0
469,31,8,Hypsolebias tocantinensis,5.0
471,31,8,Simpsonichthys cholopteryx,4.0
473,31,8,Austrolebias araucarianus,3.0
475,31,8,Austrolebias bagual,5.0
477,31,8,Cynolebias akroa,3.0
479,31,8,Hypsolebias gardneri,4.0
481,31,8,Hypsolebias hamadryades,5.0
483,31,8,Hypsolebias shibattai,3.0
485,31,8,Hypsolebias splendissimus,3.0
487,31,8,Austrolebias ephemerus,4.0
489,31,8,Austrolebias quirogai,5.0
491,31,8,Austrolebias cinereus,5.0
493,32,1,Mergus octosetaceus,5.0
495,33,3,Arhysosage cactorum,3.0
497,34,3,Melipona rufiventris,4.0
499,34,3,Melipona scutellaris,4.0
501,34,3,Melipona capixaba,4.0
503,34,3,Partamona littoralis,4.0
505,35,3,Dinoponera lucida,4.0
507,35,3,Gnamptogenys wilsoni,4.0
509,35,3,Mycetophylax simplex,3.0
511,35,3,Mycetomoellerius atlanticus,3.0
513,35,3,Atta robusta,3.0
515,35,3,Brachymyrmex micromegas,3.0
517,35,3,Diaphoromyrma sofiae,4.0
519,35,3,Monomorium delabiei,3.0
521,35,3,Mycetagroicus urbanus,5.0
523,35,3,Rhopalothrix plaumanni,4.0
525,35,3,Fulakora cleae,5.0
527,36,8,Leporinus guttatus,3.0
529,36,8,Leporinus pitingai,5.0
531,36,8,Hypomasticus thayeri,3.0
533,36,8,Sartor tucuruiense,4.0
535,37,8,Brycon devillei,4.0
537,37,8,Bryconamericus lambari,4.0
539,37,8,Diapoma pyrrhopteryx,4.0
541,37,8,Henochilus wheatlandii,5.0
543,37,8,Hollandichthys taramandahy,4.0
545,37,8,Rachoviscus crassiceps,4.0
547,37,8,Spintherobolus leptoura,4.0
549,37,8,Stygichthys typhlops,4.0
551,37,8,Brycon gouldingi,4.0
553,37,8,Ossubtus xinguense,3.0
555,37,8,Rhinopetitia potamorhachia,4.0
557,37,8,Brycon insignis,4.0
559,37,8,Brycon opalinus,3.0
561,37,8,Spintherobolus broccae,4.0
563,37,8,Brycon orbignyanus,5.0
565,37,8,Hasemania crenuchoides,4.0
567,37,8,Hasemania maxillaris,7.0
569,37,8,Hasemania melanura,7.0
571,37,8,Hyphessobrycon duragenys,4.0
573,37,8,Hyphessobrycon flammeus,4.0
575,37,8,Hyphessobrycon taurocephalus,7.0
577,37,8,Spintherobolus papilliferus,4.0
579,37,8,Astyanax eremus,5.0
581,37,8,Hasemania uberaba,4.0
583,37,8,Brycon vermelha,4.0
585,37,8,Hasemania piatan,4.0
587,37,8,Kolpotocheirodon figueiredoi,5.0
589,37,8,Lepidocharax diamantina,4.0
591,37,8,Mimagoniates lateralis,3.0
593,37,8,Mimagoniates sylvicola,4.0
595,37,8,Rachoviscus graciliceps,4.0
597,37,8,Spintherobolus ankoseion,3.0
599,38,8,Characidium vestigipinne,5.0
601,38,8,Melanocharacidium nigrum,4.0
603,38,8,Characidium grajahuensis,5.0
605,39,8,Roestes itupiranga,3.0
607,40,8,Lebiasina melanoguttata,3.0
609,40,8,Lebiasina marilynae,3.0
611,40,8,Lebiasina minuta,3.0
613,41,8,Apareiodon davisi,4.0
615,42,8,Prochilodus britskii,4.0
617,42,8,Prochilodus vimboides,3.0
619,43,8,Myloplus tiete,4.0
621,43,8,Mylesinus paucisquamatus,4.0
623,44,8,Sternarchella curvioperculata,4.0
625,44,8,Sternarchorhynchus britskii,4.0
627,44,8,Tembeassu marauna,5.0
629,44,8,Sternarchogiton zuanoni,4.0
631,44,8,Sternarchorhynchus caboclo,3.0
633,44,8,Sternarchorhynchus higuchii,5.0
635,44,8,Sternarchorhynchus inpai,3.0
637,44,8,Sternarchorhynchus jaimei,5.0
639,44,8,Sternarchorhynchus kokraimoro,4.0
641,44,8,Sternarchorhynchus mareikeae,3.0
643,44,8,Sternarchorhynchus severii,3.0
645,44,8,Sternarchorhynchus villasboasi,4.0
647,45,8,Eigenmannia vicentespelaea,3.0
649,45,8,Archolaemus ferreirai,3.0
651,45,8,Archolaemus santosi,3.0
653,46,1,Tigrisoma fasciatum,3.0
655,47,8,Paragenidens grandoculis,5.0
657,47,9,Genidens planifrons,5.0
659,47,9,Genidens barbus,4.0
661,47,9,Sciades parkeri,3.0
663,48,8,Corydoras lacerdai,4.0
665,48,8,Scleromystax macropterus,4.0
667,49,8,Kalyptodoras bahiensis,4.0
669,49,8,Rhynchodoras xingui,4.0
671,50,8,Rhamdia jequitinhonha,3.0
673,50,8,Rhamdiopsis krugi,3.0
675,50,8,Pimelodella spelaea,4.0
677,50,8,Chasmocranus brachynemus,4.0
679,50,8,Heptapterus multiradiatus,7.0
681,50,8,Taunayia bifasciata,3.0
683,50,8,Pimelodella kronei,4.0
685,51,8,Ancistrus formoso,3.0
687,51,8,Loricaria coximensis,5.0
689,51,8,Neoplecostomus botucatu,3.0
691,51,8,Otothyris juquiae,5.0
693,51,8,Pareiorhaphis nasuta,5.0
695,51,8,Pareiorhaphis scutula,4.0
697,51,8,Pogonopoma obscurum,4.0
699,51,8,Pogonopoma parahybae,4.0
701,51,8,Pseudotocinclus juquiae,5.0
703,51,8,Ancistrus minutus,4.0
705,51,8,Harttia depressa,4.0
707,51,8,Baryancistrus longipinnis,5.0
709,51,8,Baryancistrus niveatus,5.0
711,51,8,Harttia dissidens,3.0
713,51,8,Leporacanthicus joselimai,3.0
715,51,8,Lithoxus lithoides,3.0
717,51,8,Scobinancistrus aureatus,3.0
719,51,8,Scobinancistrus pariolispos,3.0
721,51,8,Delturus parahybae,5.0
723,51,8,Hypostomus subcarinatus,5.0
725,51,8,Plesioptopoma curvidens,5.0
727,51,8,Isbrueckerichthys saxicola,4.0
729,51,8,Microlepidogaster perforatus,5.0
731,51,8,Pseudotocinclus tietensis,4.0
733,51,8,Harttia panara,3.0
735,51,8,Harttia villasboas,3.0
737,51,8,Parancistrus nudiventris,4.0
739,51,8,Hypancistrus zebra,5.0
741,51,8,Ancistrus cryptophthalmus,4.0
743,51,8,Hemiancistrus megalopteryx,4.0
745,51,8,Parotocinclus spilurus,4.0
747,52,8,Steindachneridion amblyurum,5.0
749,52,8,Steindachneridion doceanum,5.0
751,52,8,Steindachneridion scriptum,4.0
753,52,8,Aguarunichthys tocantinsensis,4.0
755,52,8,Pimelodus joannis,3.0
757,52,8,Pimelodus stewartii,3.0
759,52,8,Conorhynchos conirostris,4.0
761,52,8,Steindachneridion parahybae,4.0
763,52,8,Steindachneridion melanodermatum,4.0
765,52,8,Pseudoplatystoma corruscans,3.0
767,53,8,Microglanis robustus,5.0
769,53,8,Lophiosilurus alexandri,3.0
771,53,8,Microglanis maculatus,5.0
773,54,8,Glaphyropoma spinosum,3.0
775,54,8,Ituglanis cahyensis,4.0
777,54,8,Ituglanis epikarsticus,3.0
779,54,8,Ituglanis passensis,3.0
781,54,8,Listrura camposi,5.0
783,54,8,Listrura nematopteryx,5.0
785,54,8,Microcambeva draco,4.0
787,54,8,Trichogenes claviger,5.0
789,54,8,Trichomycterus dali,3.0
791,54,8,Trichomycterus itacarambiensis,5.0
793,54,8,Trichomycterus triguttatus,5.0
795,54,8,Ituglanis mambai,4.0
797,54,8,Cambeva crassicaudata,4.0
799,54,8,Cambeva igobi,3.0
801,54,8,Cambeva mboycy,4.0
803,54,8,Cambeva paolence,4.0
805,54,8,Cambeva pascuali,5.0
807,54,8,Ituglanis bambui,5.0
809,54,8,Ituglanis ramiroi,3.0
811,54,8,Trichomycterus rubbioli,3.0
813,55,0,Anomaloglossus apiau,4.0
815,55,0,Anomaloglossus tepequem,7.0
817,56,0,Brachycephalus pernix,5.0
819,56,0,Ischnocnema manezinho,4.0
821,56,0,Brachycephalus quiririensis,4.0
823,56,0,Ischnocnema karst,3.0
825,56,0,Ischnocnema garciai,5.0
827,56,0,Ischnocnema epipeda,7.0
829,56,0,Brachycephalus mirissimus,3.0
831,57,0,Melanophryniscus admirabilis,5.0
